ID,year,loan_limit,Gender,approv_in_adv,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
25012,2019,ncf,Joint,pre,p1,l1,nopc,nob/c,296500,4.25,0.5813,8112.5,360,not_neg,not_int,not_lpsm,318000,home,1U,3840,CRIF,887,EXP,45-54,93.23899371,North,direct,0,46
25013,2019,cf,Male,nopre,p4,l1,nopc,nob/c,436500,3.99,-0.051,776.37,360,not_neg,not_int,not_lpsm,558000,home,1U,,CRIF,604,EXP,65-74,78.22580645,North,direct,0,
25014,2019,cf,Female,pre,p3,l1,nopc,nob/c,226500,,,,360,not_neg,not_int,not_lpsm,288000,home,1U,6600,CRIF,644,CIB,35-44,78.64583333,south,direct,1,31
25015,2019,ncf,Joint,nopre,p4,l1,nopc,nob/c,506500,3.125,-0.4337,5027.23,360,not_neg,not_int,not_lpsm,578000,home,1U,,CRIF,648,EXP,35-44,87.62975779,central,direct,0,
25016,2019,cf,Male,nopre,p4,l1,nopc,nob/c,296500,3.625,-0.0589,90.03,360,not_neg,not_int,not_lpsm,608000,home,1U,8400,CIB,797,CIB,35-44,48.76644737,south,direct,0,7
25017,2019,cf,Sex Not Available,nopre,p4,l1,nopc,nob/c,386500,3.625,0.014,0,360,not_neg,int_only,not_lpsm,598000,home,1U,5820,EXP,806,CIB,25-34,64.63210702,south,direct,0,38
25018,2019,cf,Joint,nopre,p3,l1,nopc,nob/c,106500,4.5,1.2132,3041.75,120,not_neg,not_int,not_lpsm,618000,home,1U,6540,CRIF,845,EXP,55-64,17.23300971,central,direct,0,19
25019,2019,cf,Sex Not Available,nopre,p4,l1,nopc,nob/c,706500,4,0.2072,0,360,not_neg,not_int,not_lpsm,898000,home,1U,15240,CRIF,815,CIB,45-54,78.67483296,North,direct,0,27
25020,2019,cf,Male,nopre,p3,l1,nopc,nob/c,176500,3.75,1.0893,4736,180,not_neg,not_int,not_lpsm,278000,home,1U,5280,CIB,585,CIB,45-54,63.48920863,North,direct,0,37
25021,2019,cf,Joint,nopre,p1,l1,nopc,nob/c,496500,5.19,1.0083,7608.1,360,neg_amm,not_int,not_lpsm,588000,home,1U,8280,CIB,729,EXP,35-44,84.43877551,south,direct,0,40
25022,2019,cf,Female,nopre,p3,l1,nopc,nob/c,606500,4.875,0.6654,0,360,not_neg,not_int,not_lpsm,978000,home,1U,16740,EXP,538,CIB,65-74,62.01431493,North,direct,0,20
25023,2019,cf,Female,nopre,p1,l1,nopc,b/c,126500,4.49,1.987,123.61,360,not_neg,not_int,not_lpsm,138000,home,1U,2220,CIB,629,CIB,65-74,91.66666667,North,direct,0,55
25024,2019,cf,Male,nopre,p3,l1,nopc,b/c,156500,3.375,1.4935,4653.09,180,not_neg,not_int,not_lpsm,198000,home,1U,3780,CIB,791,CIB,55-64,79.04040404,North,direct,0,30
25025,2019,cf,Female,nopre,p4,l1,nopc,nob/c,196500,,,,360,not_neg,not_int,not_lpsm,208000,home,1U,5580,CRIF,671,CIB,55-64,94.47115385,North,direct,1,36
